"ff" "t" "td" "hu" "dd" "precip_log" "ws_arome" "p3031_arome" "u10_arome" "v10_arome" "t2m_arome" "d2m_arome" "r_arome" "tp_arome_log" "msl_arome" "rain" "rain_class" "rain_log" "month2" "month3" "month4" "month5" "month6" "month7" "month8" "month9" "month10" "month11" "month12"
"13" 0.0729801134801337 0.984578372571788 0.803053756606493 -0.669170711553157 0.666761782040415 -0.820398516270391 0.0481677623270153 0.70915459071609 1.01697296151155 0.0699696003126292 0.9810910578105 0.78571643496238 -0.795689423214865 -0.477161300674222 0.408945615745329 0.2 "low_rain" 0.182321556793955 0 0 0 0 0 0 1 0 0 0 0
"14" -0.0610772842631078 -1.44455872866783 -1.2355660930345 0.812366196227868 0.164610319738709 0.353958519508054 0.021611749301545 0.37328237380266 0.654302555349565 0.684588903434518 -1.39027347099153 -1.22990986810473 0.752042011354703 0.160323959286293 -0.154326208926659 2.8 "high_rain" 1.33500106673234 0 0 0 0 0 0 0 0 0 0 0
"16" -0.220532274938177 -1.37005204265784 -1.54969361952899 -0.352644939602591 1.15381094472403 0.869480955543717 -0.528955399910057 1.38230829122033 0.242405422167463 -0.833662735936153 -1.41286096234816 -1.4371730782677 0.21671598157502 1.4516233940148 -0.234468904069241 1.4 "low_rain" 0.8754687373539 1 0 0 0 0 0 0 0 0 0 0
"18" 1.03939779916434 -0.308078916270167 -0.0449549703126949 0.754949893408928 0.475825565440193 0.506260940974831 1.04950700135521 0.385639039733569 1.17928084591519 1.12582298237812 -0.238175256157789 -0.0387145590808353 0.592476174438785 0.272926578904161 -0.509891609012156 0.6 "low_rain" 0.470003629245736 0 1 0 0 0 0 0 0 0 0 0
"19" -0.0602917916982058 0.578162942774788 0.456745107973362 -0.475820084966296 1.15596841609805 0.178138277189022 -0.255028656053999 1.09503809035753 0.605180765754977 -0.808938760024134 0.593810346862756 0.600105992432951 -0.157654810616301 1.10996637653176 -0.18380273030958 6.6 "high_rain" 2.02814824729229 0 0 0 0 0 0 1 0 0 0 0
"20" -0.431044282331864 1.05158381983195 0.947236031357108 -0.427727797135051 1.06589398623298 -0.820398516270391 -0.644555276070301 0.94919170656315 0.558410222365968 -0.296123953288383 0.921184565291704 0.860474765309204 -0.331226544668506 -0.602579310697823 0.494108652458544 0.2 "low_rain" 0.182321556793955 0 0 0 0 0 0 1 0 0 0 0
"21" 0.0447023811436683 -1.1151784923248 -0.901822545461218 0.802060705978314 0.0540399118204968 2.09630821543743 -0.131208970530095 0.321809556897182 0.115743929437345 0.356024724558426 -1.12246195623039 -1.05703878091789 0.420484868562442 2.1515878676834 -2.22910582994829 26.8 "high_rain" 3.32503602069659 1 0 0 0 0 0 0 0 0 0 0
"22" -0.15690737718113 0.523884316315034 0.572090927773762 0.0232600856906541 -1.40872567976087 -0.612447306899028 -0.0281019536898673 -1.79104592611329 -1.02781837596346 -1.43162361552467 0.681451378867855 0.607877980691527 -0.354407536048453 -0.925479343385703 -0.439223787794309 0 "no_rain" 0 0 0 0 1 0 0 0 0 0 0 0
"23" 0.878371823359467 -0.135466141441505 -0.0254293456442577 0.261267836692239 -2.02090818213729 -0.820398516270391 0.538034136555956 -1.95221157768076 -2.00718966238588 -1.21706654556822 -0.079740504248375 -0.111631353284942 -0.15903771293345 -0.0533358470810736 0.233894743706742 0.4 "low_rain" 0.336472236621213 0 0 0 1 0 0 0 0 0 0 0
"24" -0.00792562070475311 -0.502689705859713 -1.13197180659922 -1.68843277099707 -0.400647180252914 -0.820398516270391 -0.0896622339697786 -0.357509183636778 -0.641875414993146 1.18476323107933 -0.565980661760965 -0.760364142491036 -0.507401926253626 -0.908974314025103 -0.872116447470766 2.4 "high_rain" 1.22377543162212 0 0 1 0 0 0 0 0 0 0 0
"28" -0.44701596448487 0.620051882760012 0.832974968482509 0.456581413802817 0.55187643137418 -0.612447306899028 -0.417895230527808 0.499901893853031 0.606454758698418 0.436793792904743 0.648212818023848 0.822675242592521 0.299848374668111 0.115409382378128 0.883000409833167 7.2 "high_rain" 2.10413415427021 0 0 0 0 1 0 0 0 0 0 0
"30" -0.247239022144839 -1.44009169885055 -1.13332775275675 1.16569729049827 -1.29923400752967 -0.820398516270391 -0.494611745681643 -1.40373166752817 -1.34364224615896 -0.400021110274178 -1.38308549787762 -1.06079814165697 1.34710985077027 -0.08394896239661 0.431383548249222 0.4 "low_rain" 0.336472236621213 0 0 0 0 0 0 0 0 0 0 0
"31" -1.05420171715398 -0.581663421687185 -0.833211669890213 -0.731985128312335 0.662446839292392 0.0788953714556668 -1.03811705669842 0.877626699433008 0.132271056956039 -0.134954580646372 -0.784449603929277 -0.933578573074474 -0.391373369831278 -1.03147452111381 0.870605104832101 3.8 "high_rain" 1.56861591791385 0 0 0 0 0 0 0 0 0 1 0
"32" -0.210844533304386 -1.30498511777116 -1.17057107388364 0.517432880038278 0.812391099786347 0.178138277189022 -0.418031634300609 0.797165176199737 0.787652891876266 -0.0816092153984959 -1.32450996407667 -1.19459439177651 0.631166355854615 0.816697349020216 1.24357254095832 9.3 "high_rain" 2.33214389523559 0 0 0 0 0 0 0 0 0 1 0
"33" 0.297107325332121 -1.27641298365644 -1.51552377635925 -0.68487431574295 1.39221153155256 0.0788953714556668 -0.0357788098879712 1.44312906148511 0.46666661391183 -1.09413112316631 -1.35466097599192 -1.43562780620264 -0.095081810418161 0.834440962028422 -0.0756670616610648 3 "high_rain" 1.38629436111989 0 0 0 0 0 0 0 0 0 0 1
"34" 0.492694973992674 -1.5640728471773 -1.66684736753958 -0.224071680298636 1.54161642420303 0.76077265190571 0.944329995315982 -0.28121364125407 -0.582700368684327 -2.10681961703961 -1.44792933230235 -1.53729092426068 -0.120811097628166 1.40085943892442 0.0526802454950791 2.2 "high_rain" 1.16315080980568 0 0 0 0 0 0 0 0 0 0 1
"35" -0.11868007235591 -0.763547390476503 -0.366766191699926 1.30408530242084 0.113370374605872 1.18456834714421 -0.113524188696364 0.185709202614927 0.246621589663119 0.797428575743987 -0.797273525091939 -0.43716017165533 1.29576192945912 0.951384402097352 0.374442919707076 1.8 "low_rain" 1.02961941718116 0 1 0 0 0 0 0 0 0 0 0
"37" 1.04699089395839 0.63876283784398 0.83333655412459 0.410942814126223 0.0815476718391729 2.61343709385353 1.29377534712998 0.0207892087536278 0.380480082816501 1.8566155119915 0.697145762801284 0.794640641933584 0.0731160453424604 1.44985403825567 -0.944116156363232 3.4 "high_rain" 1.48160454092422 0 0 0 0 0 1 0 0 0 0 0
"38" -0.45565638269879 1.66348262122676 1.44152360398192 -0.654939320256148 -1.85262541496421 -0.436627064579996 -0.608863262279038 -2.05782138517555 -1.29719531870748 -0.871063151413405 1.63350171389902 1.23904700894848 -1.1679650993835 -0.932758521246286 0.272865582630091 0.2 "low_rain" 0.182321556793955 0 0 0 0 0 0 1 0 0 0 0
"39" -1.34404847360275 2.81530204544995 2.1661412305659 -1.84792250104968 0.405707745784753 -0.820398516270391 -1.10698924811564 -0.0911044487948788 -0.00449546179593332 0.255806148356121 2.8416539296915 1.87799727804697 -2.50882962146104 -1.04780052433693 -0.146417518245591 0.2 "low_rain" 0.182321556793955 0 0 0 0 1 0 0 0 0 0 0
"41" -0.0110675909643609 -0.113468126680621 0.148402951751069 0.722070472136552 1.31022761934004 2.00427654912005 -0.383474471658996 1.29155659733538 0.517621613401288 -0.814506012344098 -0.0634670027718038 0.212359722082935 0.792565785200086 1.22457698373643 -0.0772322727239451 12.2 "high_rain" 2.58021682959233 0 0 0 0 0 0 0 1 0 0 0
"42" 1.39915339388937 1.16814801299022 1.05101111061331 -0.525384585690335 1.39922331351811 -0.612447306899028 0.607723646556394 1.44919571493508 0.83868882096342 -1.43907416302297 1.07036919142704 1.24431644565269 0.233395806057423 -1.04291070201393 0.147778969824822 0 "no_rain" 0 0 0 0 0 0 1 0 0 0 0 0
"46" -1.07122072272685 1.22470229614937 1.28396266047695 -0.0572208857820551 -2.12608491162046 -0.612447306899028 -1.00696074718189 -1.95736976577391 -1.02263484829689 -0.645936646620209 1.49023131738113 1.3575225237926 -0.597408960605446 -0.642650604185786 0.0410004655513193 0 "no_rain" 0 0 0 0 0 0 0 1 0 0 0 0
"47" 0.0706236357854287 0.382372183044674 -0.475151487891747 -2.31166956227958 -0.915743470798716 -0.820398516270391 0.0783885162372388 -0.929208190313058 -1.58967695538291 0.715784963306563 0.191717112673364 -0.247328192797218 -1.40395735867951 -1.04780052433693 0.100865413892949 0 "no_rain" 0 0 1 0 0 0 0 0 0 0 0 0
"48" 0.0983777064119612 -1.17881259632652 -0.752758864543291 1.53227830080381 -0.11262475182207 -0.612447306899028 -0.164832929070396 -0.281445502268982 -0.442178931350041 1.13922044214205 -1.35577642404323 -0.904574991129915 1.82071631257271 0.0367528492180893 0.137405800855304 0 "no_rain" 0 0 0 0 0 0 0 0 0 0 0 0
"49" -0.655171494183852 -1.30321516256051 -1.30173626552196 0.141527854745044 0.955323578314767 1.1445441035961 -0.16849418939809 1.54863573626991 0.323329886805548 -1.19938477381292 -1.13190470658273 -1.2659670931664 -0.27842847412813 0.366636802566567 -0.620636610885987 4.6 "high_rain" 1.7227665977411 0 0 0 0 0 0 0 0 0 1 0
"50" 0.74536174903609 -0.443606915256787 -0.208843662552874 0.71421867004165 0.785962075454687 1.2606347883567 0.595526252741423 0.827892399196363 1.18925074894254 0.0704005396761683 -0.479105401593131 -0.207579005713402 0.881045228235548 1.58683430049284 0.580841761138551 1.6 "low_rain" 0.955511445027436 1 0 0 0 0 0 0 0 0 0 0
"51" 1.20199476009902 1.38703247404006 1.69092730055707 0.614598930962626 0.00765427727920414 1.06001848465988 1.45751968402985 0.0165083339483036 0.531691771364331 1.94049135655256 1.27616662051457 1.79895418538765 1.24963826331761 0.870049343359915 -1.04369663410905 0.8 "low_rain" 0.587786664902119 0 0 0 0 0 1 0 0 0 0 0
"53" -0.917526010861059 -0.343815154808997 0.0903684562087938 1.35315906551395 -1.59211074655204 -0.284324643113219 -1.06332670948971 -1.66834519018743 -1.08740644579726 -0.670509934762159 -0.232022795626888 0.0730114686328331 0.953911230917505 -0.297290517307527 1.38917216831436 0.4 "low_rain" 0.336472236621213 0 1 0 0 0 0 0 0 0 0 0
"54" 0.305485912691072 0.685708792716967 0.81263577611956 0.16655547392253 0.191578711913877 -0.820398516270391 0.996721213658685 0.22699464757181 0.952323937605505 1.3540063631191 0.648606027558364 0.786992112159248 0.182717743459553 -0.499158851536994 0.0339900699150341 4.2 "high_rain" 1.64865862558738 0 0 0 0 0 0 0 0 1 0 0
"55" -1.28984948662452 -0.79936791259665 -0.344438278305862 1.51853764713774 0.638714654178244 -0.820398516270391 -1.05215969379742 0.909936657204666 0.274652339313518 -0.207569150601577 -0.858346793519764 -0.374254309361437 1.76893684916666 -0.519622017770508 2.16106815623333 0 "no_rain" 0 0 0 0 0 0 0 0 0 0 0 1
"56" -1.01204694950424 1.33376525055783 1.0407059198161 -0.757994222751681 -1.87258202517384 -0.612447306899028 -1.1518772318192 -1.90979282055083 -0.903821479201771 -0.747244313671792 1.35006497099354 0.943973067372523 -1.24321271407607 -1.04680559299486 0.889115426967034 0.2 "low_rain" 0.182321556793955 0 0 0 0 0 0 1 0 0 0 0
"58" -1.23329402195159 -0.470746228486762 -0.573773971749349 -0.355589365388166 -1.76201161725563 -0.820398516270391 -1.14363362610396 -1.27856206225571 -0.98684866410446 -0.647064772032938 -0.42522591072201 -0.568273263429544 -0.418717523482427 -1.04780052433693 0.276126276980966 0.2 "low_rain" 0.182321556793955 0 0 0 0 0 0 0 0 1 0 0
"59" 0.284539444293692 0.216754945477068 -0.211284365636431 -1.18837112507827 -1.49933947746945 -0.612447306899028 -0.417034101703154 -1.45921231668219 -1.65102450146169 -0.180888396917571 0.35404581644817 -0.0629490694936526 -1.16344695187967 -0.409777482195462 -1.71298088459643 1.4 "low_rain" 0.8754687373539 0 0 0 1 0 0 0 0 0 0 0
"61" -0.00137984933056943 0.890265044918787 0.79835314326032 -0.389940999553348 0.457487058761084 -0.820398516270391 -0.0958408353469834 0.438355245794819 0.504164810861131 0.734204017320236 0.729899403915514 0.658123134597951 -0.329916210672032 0.578656291139711 0.337888922213729 0.2 "low_rain" 0.182321556793955 0 0 0 0 0 0 1 0 0 0 0
"62" -1.02225835284796 0.045237857207452 -0.0055421353339608 -0.168127590372479 0.110673535388359 -0.436627064579996 -1.31614969449179 0.560063969656635 0.0534288463995043 -0.165296315114764 -0.0343762137813421 -0.0590191709511667 -0.0253162877279484 -0.27253855249244 0.0197184560000876 5.1 "high_rain" 1.80828877117927 0 0 0 0 0 0 0 0 1 0 0
"63" 0.876277176519731 0.917657208892938 1.43393030549976 1.33156660975299 0.346377282999364 1.57952198547572 0.859874984314975 0.357442974867996 0.880831236157504 1.19016761482034 0.88106218413293 1.45686542060742 1.52201167039888 1.3368543362838 0.211651247359726 0.4 "low_rain" 0.336472236621213 0 0 0 0 1 0 0 0 0 0 0
"65" 0.736197669112238 -0.682045167205253 -0.374178697360947 0.991485431517719 1.40461699195314 0.640601197491264 0.38361159129395 1.47202336776708 0.648208701957969 -1.36971029428331 -0.651729196674607 -0.443297990483292 0.712065713884194 1.29193235402736 0.0542162911344145 0.8 "low_rain" 0.587786664902119 0 0 0 0 0 0 0 0 0 0 0
"66" -0.898150527593477 -0.279675349318298 0.177239406701062 1.4091031554401 -1.94054237345527 -0.436627064579996 -0.830707376123841 -2.05311826499354 -1.20028282584886 -0.813587860234417 -0.0742107775015742 0.160958267441995 0.656558347240357 -0.743792125775086 0.803539213420462 0.2 "low_rain" 0.182321556793955 0 0 0 0 0 0 0 0 0 1 0
"67" 0.406814453563407 -1.06401835837891 -1.26431215157414 -0.535690075939887 -2.12069123318543 -0.820398516270391 0.0846849510907086 -1.92246175206094 -1.57367368347092 -1.22494062019482 -1.00428598988396 -1.0372729052258 0.0512946436814959 -1.03603201435241 0.566221134321995 0.4 "low_rain" 0.336472236621213 0 1 0 0 0 0 0 0 0 0 0
"68" -0.101661066783033 0.993849566532249 1.15352064012258 0.224462514372405 0.908937943773475 -0.149984386596786 -0.26211060620962 0.989014842392689 0.62894831220311 -0.212877752002463 0.921365166381198 1.19777758620076 0.554960797079814 0.0534235572615397 0.457224113498506 0 "no_rain" 0 0 0 0 0 0 0 1 0 0 0 0
"69" -0.630035732106994 -0.478247467236573 -0.796420330815757 -0.840928882379042 -0.0586879674717206 -0.612447306899028 -0.726202965072532 0.479167045807982 -0.451312652012238 -0.874500683756418 -0.410109566363728 -0.752429871184289 -0.896372812716488 -1.04780052433693 1.13280226238408 0 "no_rain" 0 0 0 0 1 0 0 0 0 0 0 0
"70" 1.23367629355006 -0.901603896906902 -0.719944967531067 0.592024999939804 0.404629010097737 1.46243733646785 1.96912170579092 0.507363279293169 1.9905485021242 1.0767453493785 -0.647404223476535 -0.657754902470188 -0.0269506492350009 1.2475081814522 -2.60523285362378 11.9 "high_rain" 2.55722731136763 0 0 0 0 0 0 0 0 0 0 0
"71" -1.61006862224949 0.723552120792147 0.744928864653648 -0.0645819502460218 -1.12663629760856 -0.612447306899028 -1.54052458812733 -0.501940202703694 -0.418795023388947 -0.0406538363512889 0.595243546693255 0.752801187506449 0.335631648617096 -0.743148964895024 -0.555972978192585 12.9 "high_rain" 2.63188884013665 0 0 0 0 0 0 0 0 1 0 0
"72" 1.41905253886689 0.259571004858477 0.186098254930397 -0.261367740249394 -1.67787023366909 -0.436627064579996 1.02552052949386 -1.66941316430855 -2.64978523654567 -0.665857958563118 0.286129524645699 0.153023542577552 -0.452075024770994 -0.210389270108018 -0.792951766197281 0.4 "low_rain" 0.336472236621213 0 0 0 1 0 0 0 0 0 0 0
"74" -0.464558631767673 0.1017921403666 0.337964224573753 0.634228436199874 -1.507429995122 -0.820398516270391 -0.682654659592899 -1.61225770060415 -1.48601195109218 -0.31404020371044 0.0976793360190741 0.391799871032397 0.840158939716441 -0.997904751282127 0.839547817493746 0.2 "low_rain" 0.182321556793955 0 0 0 0 0 0 0 0 1 0 0
"75" -1.24874204239466 -0.714747196811539 -0.289206071489213 1.42824192304641 0.554573270591706 -0.284324643113219 -1.06590350570608 0.881399394597708 -0.191304389153022 -0.558570459282252 -0.717156294672934 -0.453145732229497 0.939336878582836 0.273183265220615 0.922169573636545 4.2 "high_rain" 1.64865862558738 0 0 0 0 0 0 0 0 0 0 1
"76" -0.786348752522455 -1.17004710385483 -1.19552048318219 0.127787201078981 -1.92490070599367 -0.436627064579996 -0.894537567481543 -1.10335809249319 -0.765773356144601 -1.00227177457223 -1.14017354985341 -1.05910845672863 0.508915262092547 -0.658792865888626 -0.0159654396912193 0.2 "low_rain" 0.182321556793955 0 1 0 0 0 0 0 0 0 0 0
"77" -0.118941903210873 0.346720228087366 0.595684390914779 0.585154673106771 -0.535489141128782 0.178138277189022 -0.175450224152537 -0.530656433208979 -0.623090456456684 0.897278997803127 0.35578416412493 0.782271752755421 1.17267223099275 1.25764554877022 -2.36682495986602 6 "high_rain" 1.94591014905531 0 0 0 1 0 0 0 0 0 0 0
"78" -1.07829015581096 0.888410806126614 0.573266081110367 -0.957724438540638 -1.19136043882897 -0.612447306899028 -1.15699876933784 -1.59632281125277 -0.765338426170171 -0.753932103222254 0.861911337474792 0.59655508694535 -0.854460699462559 -1.04780052433693 0.0361434503524709 1.4 "low_rain" 0.8754687373539 0 0 0 0 0 0 1 0 0 0 0
"80" 0.00726056888335053 -0.0096307543225795 0.0771705802753547 0.223481039110547 0.56374252393126 -0.436627064579996 0.320572060529143 0.528850761777633 1.05130948400963 0.317765024425753 0.0292774611220115 -0.0691985542980989 -0.271553782572544 1.19808338534189 -0.660910172060439 0.4 "low_rain" 0.336472236621213 0 0 0 0 0 0 0 0 1 0 0
"82" -0.483934115035255 -1.71451904008223 -1.49635973733268 0.920819212663652 -1.26471446554545 -0.820398516270391 -0.442965911021559 -1.1791685939401 -1.53439500946446 0.342268400173134 -1.62102527733953 -1.46733150956113 0.804849482379633 -1.04780052433693 0.110583333013784 0.2 "low_rain" 0.182321556793955 0 0 0 0 0 0 0 0 0 0 1
"84" -1.25057485837943 0.282748989759734 0.240697686873464 -0.244191923166809 -1.46320183195472 -0.820398516270391 -1.15520202364688 -1.21063945635496 -0.80739448146136 -0.0122024016867265 0.149089285270733 0.143984222589016 -0.0755604945750061 -0.987824709118278 0.5557157487658 0.4 "low_rain" 0.336472236621213 0 0 0 0 0 0 0 0 0 1 0
"85" 0.169333868108095 0.851241746703039 0.932682209266356 0.0561395069630303 0.495242807806317 0.0788953714556668 -0.11590674400631 0.597466240203281 0.649509648831249 0.333618624061112 0.731499688775935 0.955141116421833 0.443069645902746 0.313590788804228 0.356758951238885 0.6 "low_rain" 0.470003629245736 0 0 0 0 0 1 0 0 0 0 0
"86" 0.679118542729375 -1.06241697033131 -1.02412888887042 0.173425800755563 0.0750752577171315 0.702268859002126 0.556912963733082 0.107511691255088 0.431844179157954 1.24058017083585 -1.04717004197278 -1.01047388723752 0.231044261514301 1.31860444958202 -2.71227967979378 11.4 "high_rain" 2.51769647261099 0 0 0 0 0 0 0 0 0 0 0
"88" -0.975390629808824 -0.0788275747008351 -0.293997081245747 -0.687328003897601 0.782725868393667 -0.820398516270391 -0.780906116931352 -0.042410758895029 -0.404415040355775 -1.08991771909535 -0.104471990907857 -0.269369659626502 -0.509239155146724 -1.04780052433693 1.11679433358819 0 "no_rain" 0 0 0 0 0 0 0 0 0 1 0 0
"89" -0.152718083501651 1.29440481801617 1.02163227720031 -0.847799209212074 -1.56406361868986 -0.820398516270391 -0.182990215067518 -1.25250223303991 -0.892223592272042 -1.37493785655835 1.40462930318609 0.913031885703385 -1.44928765711949 -0.924088594551634 0.13443092765505 0 "no_rain" 0 0 0 0 0 0 0 1 0 0 0 0
"90" -0.857304914218582 1.00775635747303 0.680657016786722 -0.971465092206714 0.167307158956222 -0.436627064579996 -0.958726844092424 0.1812650092118 0.205635987784848 0.147512271984131 0.919208650066108 0.557501929949779 -1.05786970733213 -1.00942374143733 -0.0152751913343051 12.1 "high_rain" 2.57261223020711 0 0 0 0 0 0 1 0 0 0 0
"91" -0.443088501660361 -0.0399728436479369 -0.283511097627587 -0.716281524122532 0.431597402272918 -0.612447306899028 -0.420013988731892 0.416976531039908 0.596011808311832 0.471154046831816 -0.162918500239052 -0.313036408475463 -0.388027129284733 0.346532814195348 0.267075273878229 0.2 "low_rain" 0.182321556793955 0 0 0 1 0 0 0 0 0 0 0
"92" -1.72370321330529 0.319496631276076 0.484767995228843 0.402109536769463 -0.943790598660887 -0.436627064579996 -1.33964150419984 -0.858969402816597 -0.575301425545689 -0.305845468961877 -0.102000956717591 0.117971764863535 0.662197018421448 -0.885416382354141 0.203834913853177 0.4 "low_rain" 0.336472236621213 0 0 0 0 0 0 0 0 1 0 0
"93" 0.75426399810498 0.756422717561283 0.484677598818483 -0.871845353127702 1.62467907210255 -0.820398516270391 0.418285617690723 1.20666564786575 -0.0234841015031208 -1.72792090589851 0.75788171018594 0.722342591536583 -0.277120242540729 1.09502641740694 0.779900637647838 0.2 "low_rain" 0.182321556793955 0 0 0 0 0 0 1 0 0 0 0
"94" -0.829812674447019 -0.17280376802793 0.133758733249748 0.880578726927295 0.7417339122874 2.12252945993401 -0.61163863979656 1.15719638665879 0.417522124035854 -0.715234538023071 -0.01576120010792 0.148222903409631 0.421968897761722 1.85998802384835 -0.337831165066362 0 "no_rain" 0 0 0 0 0 0 0 0 1 0 0 0
"95" -0.362968260040375 -0.386546930608884 -0.514564322870691 -0.314367404389954 1.03622875484028 -0.820398516270391 -0.642332991210116 0.951723753583524 0.617684834842961 -0.28913664010597 -0.518237793584222 -0.456054127471359 0.295630650354865 0.0929462060235797 -0.808185839088786 1 "low_rain" 0.693147180559945 0 0 1 0 0 0 0 0 0 0 0
"97" -0.155860053761258 0.569228883140025 0.573718063162796 -0.129850055159864 0.826414663717446 -0.820398516270391 0.108655629958747 -0.339390131285748 -0.485681921455152 -1.59811634448249 0.605724877691048 0.555784577984242 -0.321164963102515 -1.04780052433693 -0.0873526746895251 0.2 "low_rain" 0.182321556793955 0 0 0 1 0 0 0 0 0 0 0
"98" 0.281921135744018 0.468594286877574 0.683911287564803 0.507618127419648 0.70829310599019 1.10306411779351 -0.188124138369589 0.592252758884639 0.419789452819086 0.273371224808677 0.601536723500156 0.702088506026039 0.168294337054449 0.817468029657404 -1.81253608564187 15.7 "high_rain" 2.81540871942271 0 0 0 0 1 0 0 0 0 0 0
"99" 1.95947142351934 -0.877330225446611 -0.610203725181724 0.889902741914991 0.543246545878133 2.43104292035827 2.64080945780856 0.553203010635914 2.22443431767129 0.406290813203037 -0.824739650562522 -0.647684463751807 0.654378727450308 2.27547065980555 -3.53968330177869 6.8 "high_rain" 2.05412373369555 1 0 0 0 0 0 0 0 0 0 0
"100" -1.34064467248817 -0.612005511012543 -0.369297291193844 0.778505299693622 0.515738785859457 -0.820398516270391 -1.28508009754644 0.967491141708813 0.181299568187501 -0.203505678297423 -0.859898652743767 -0.534241537630507 1.20282472533917 -1.04198275237032 1.07616787078901 0 "no_rain" 0 0 0 0 0 0 0 0 0 0 1 0
"101" 0.152314862535218 -1.47270944487531 -1.39375981141306 0.369230115497075 1.07937818232056 1.7107670598985 0.203599592217331 1.05947306918759 0.824305747895781 -0.897370566003495 -1.24094680185076 -1.40213345590768 -0.340706593850524 0.524456390156736 0.0258577776535451 1.4 "low_rain" 0.8754687373539 0 0 0 0 0 0 0 0 0 1 0
"104" 0.919479267589331 -0.446135422700565 -0.096209735067321 1.08276263087092 1.34852273622878 1.10306411779351 0.3354650619991 1.35708226308269 0.323167614506222 -1.47118428497031 -0.378739289793065 -0.0108572088834421 1.18615875261412 1.44853143449666 -0.0850972152697164 0 "no_rain" 0 0 1 0 0 0 0 0 0 0 0 0
